,Depart Ward,Sheridan/Loyola,Chicago/Kedzie,Chicago/Greenleaf (northbound),Chicago/Davis,Weber Arch,Jacobs Center,Tech Institute,Patten Gym,Central L Station (westbound),Central/Jackson (westbound),Arrive Ryan Field
0,640,705,715,717,720,723,724,725,726,729,730,732
1,720,748,758,800,803,806,807,808,809,812,813,815
2,800,826,836,838,841,844,845,846,847,850,851,853
3,815,841,851,853,856,859,900,901,902,905,906,908
4,830,856,906,908,911,914,915,916,917,920,921,923
5,900,926,936,938,941,944,945,946,947,950,951,953
6,930,956,1006,1008,1011,1014,1015,1016,1017,1020,1021,1023
7,1010,1032,1042,1044,1047,1050,1051,1052,1053,1056,1057,1059
8,1100,1123,1133,1135,1138,1141,1142,1143,1144,1147,1148,1150
9,1135,1158,1208,1210,1213,1216,1217,1218,1219,1222,1223,1225
10,1200,1225,1235,1237,1240,1243,1244,1245,1246,1249,1250,1252
11,1230,1255,1305,1307,1310,1313,1314,1315,1316,1319,1320,1322
12,1300,1322,1332,1334,1337,1340,1341,1342,1343,1346,1347,1349
13,1340,1402,1412,1414,1417,1420,1421,1422,1423,1426,1427,1429
14,1425,1445,1455,1457,1500,1503,1504,1505,1506,1509,1510,1512
15,1445,1505,1515,1517,1520,1523,1524,1525,1526,1529,1530,1532
16,1535,1556,1606,1608,1611,1614,1615,1616,1617,1620,1621,1623
17,1605,1632,1642,1644,1647,1650,1651,1652,1653,1656,1657,1659
18,1625,1652,1702,1704,1707,1710,1711,1712,1713,1716,1717,1719
19,1650,1717,1727,1729,1732,1735,1736,1737,1738,1741,1742,1744
20,1705,1732,1742,1744,1747,1750,1751,1752,1753,1756,1757,1759
21,1720,1747,1757,1759,1802,1805,1806,1807,1808,1811,1812,1814
22,1750,1817,1827,1829,1832,1835,1836,1837,1838,1841,1842,1844
23,1820,1842,1852,1854,1857,1900,1901,1902,1903,1906,1907,1909
24,1830,1852,1902,1904,1907,1910,1911,1912,1913,1916,1917,1919
25,1930,1952,2002,2004,2007,2010,2011,2012,2013,2016,2017,2019
26,2015,2037,2047,2049,2052,2055,2056,2057,2058,2101,2102,2104
27,2135,2155,2205,2207,2210,2213,2214,2215,2216,2219,2220,2222
28,2225,2243,2253,2255,2258,2301,2302,2303,2304,2307,2308,2310
