,Depart Ryan Field,Central/Jackson (eastbound),Central L Station (eastbound),Noyes L Station,Ridge/Civic Center,Ridge/Reserve Apartments,Emerson/Maple,Sherman/Emerson,Sherman/Foster,Sherman/Gaffield,Sheridan/Noyes,Sheridan/Foster,Chicago/Sheridan,Chicago/Grove,Chicago/Greenleaf,Chicago/Main,Sheridan/Loyola,Arrive Ward
0,635,636,637,639,641,642,644,646,647,648,650,652,654,657,700,701,711,751
1,650,651,652,654,656,657,659,701,702,703,705,707,709,712,715,716,726,806
2,705,706,707,709,711,712,714,716,717,718,720,722,724,727,730,731,741,821
3,735,736,737,739,741,742,744,746,747,748,750,752,754,757,800,801,811,851
4,820,821,822,824,826,827,829,831,832,833,835,837,839,842,845,846,856,926
5,900,901,902,904,906,907,909,911,912,913,915,917,919,922,925,926,936,1006
6,920,921,922,924,926,927,929,931,932,933,935,937,939,942,945,946,956,1021
7,1000,1001,1002,1004,1006,1007,1009,1011,1012,1013,1015,1017,1019,1022,1025,1026,1036,1053
8,1030,1031,1032,1034,1036,1037,1039,1041,1042,1043,1045,1047,1049,1052,1055,1056,1106,1123
9,1105,1106,1107,1109,1111,1112,1114,1116,1117,1118,1120,1122,1124,1127,1130,1131,1141,1158
10,1150,1151,1152,1154,1156,1157,1159,1201,1202,1203,1205,1207,1209,1212,1215,1216,1226,1243
11,1230,1231,1232,1234,1236,1237,1239,1241,1242,1243,1245,1247,1249,1252,1255,1256,1306,1323
12,1250,1251,1252,1254,1256,1257,1259,1301,1302,1303,1305,1307,1309,1312,1315,1316,1326,1343
13,1325,1326,1327,1329,1331,1332,1334,1336,1337,1338,1340,1342,1344,1347,1350,1351,1401,1418
14,1355,1356,1357,1359,1401,1402,1404,1406,1407,1408,1410,1412,1414,1417,1420,1421,1431,1448
15,1435,1436,1437,1439,1441,1442,1444,1446,1447,1448,1450,1452,1454,1457,1500,1501,1511,1528
16,1455,1456,1457,1459,1501,1502,1504,1506,1507,1508,1510,1512,1514,1517,1520,1521,1531,1556
17,1520,1521,1522,1524,1526,1527,1529,1531,1532,1533,1535,1537,1539,1542,1545,1546,1556,1621
18,1545,1546,1547,1549,1551,1552,1554,1556,1557,1558,1600,1602,1604,1607,1610,1611,1621,1646
19,1600,1601,1602,1604,1606,1607,1609,1611,1612,1613,1615,1617,1619,1622,1625,1626,1636,1711
20,1630,1631,1632,1634,1636,1637,1639,1641,1642,1643,1645,1647,1649,1652,1655,1656,1706,1736
21,1700,1701,1702,1704,1706,1707,1709,1711,1712,1713,1715,1717,1719,1722,1725,1726,1736,1811
22,1710,1711,1712,1714,1716,1717,1719,1721,1722,1723,1725,1727,1729,1732,1735,1736,1746,1821
23,1725,1726,1727,1729,1731,1732,1734,1736,1737,1738,1740,1742,1744,1747,1750,1751,1801,1841
24,1750,1751,1752,1754,1756,1757,1759,1801,1802,1803,1805,1807,1809,1812,1815,1816,1826,1856
25,1805,1806,1807,1809,1811,1812,1814,1816,1817,1818,1820,1822,1824,1827,1830,1831,1841,1911
26,1820,1821,1822,1824,1826,1827,1829,1831,1832,1833,1835,1837,1839,1842,1845,1846,1856,1926
27,1915,1916,1917,1919,1921,1922,1924,1926,1927,1928,1930,1932,1934,1937,1940,1941,1951,2011
28,2025,2026,2027,2029,2031,2032,2034,2036,2037,2038,2040,2042,2044,2047,2050,2051,2101,2118
29,2130,2131,2132,2134,2136,2137,2139,2141,2142,2143,2145,2147,2149,2152,2155,2156,2206,2223
